anio,sexo,ocupados_miles,desocupacion_pct,ocupacion_pct,participacion_pct
2010,Total,7337.399869936192,8.28329378860123,55.184353000686095,60.16826735305029
2011,Total,7698.576801944122,7.309059663470239,57.0044277817823,61.49946000635911
2012,Total,7874.555778089455,6.5963722433287355,57.4307789021923,61.48666843198749
2013,Total,8039.630943542931,6.088515003885285,57.84125202196082,61.59124416396335
2014,Total,8153.126288807916,6.497765896187227,57.87001803288353,61.89158856742626
2015,Total,8293.054375921827,6.331843824520394,58.09223748299548,62.01919612270839
2016,Total,8389.930360006461,6.689795983102178,57.96394101698839,62.11961663538056
2017,Total,8592.194129202913,6.964017089299901,58.33327650099789,62.69969389906769
2018,Total,8783.603283189714,7.37727484607664,58.34240236153887,62.989295839205376
2019,Total,8975.909918738656,7.220579952118343,58.31146795094708,62.849571511498624
2020,Total,7922.464075219924,10.520806589763772,50.39648216786505,56.32201213170502
2021,Total,8313.958178332652,8.810548151116151,52.18173454148833,57.22343262679348
2022,Total,8862.69622366622,7.883009208551462,55.084764166081044,59.79870129582512
2023,Total,9074.388776409365,8.68073520421937,55.883584688646536,61.195832898589664
2024,Total,9298.541154514776,8.4725079147765765,56.73872000378437,61.9909042749184
2025,Total,9391.484962075603,8.55521770387016,56.79017167793362,62.10323897324989
2010,Hombres,4459.6063529010835,7.25322394740495,68.83251528958935,74.21553418800849
2011,Hombres,4618.374617235083,6.233753255815604,70.16243027966203,74.82695822419026
2012,Hombres,4702.972522815973,5.571480670740731,70.35804755070767,74.50931990723993
2013,Hombres,4758.132741629836,5.394805964935817,70.2058508685475,74.20929853230533
2014,Hombres,4784.237720805375,6.089286941016776,69.62761001666522,74.14235048234983
2015,Hombres,4877.070802660578,5.835830018695553,70.03319100963684,74.37350217555296
2016,Hombres,4905.112345327265,6.297122813025435,69.44211223380492,74.10883669584686
2017,Hombres,4995.416025190891,6.538784744940029,69.42110021366936,74.27797725956803
2018,Hombres,5092.879049852966,6.7295757693057805,69.17117235640102,74.16195747680278
2019,Hombres,5173.233472811922,6.668825133805037,68.67463501812924,73.58166777240854
2020,Hombres,4664.358997295831,10.284119575291228,60.60868575289362,67.55625143060102
2021,Hombres,4883.980773735796,8.593833900865596,62.6046076678875,68.49057381970248
2022,Hombres,5119.523716472925,7.430570222933865,64.97804967339636,70.19385322982136
2023,Hombres,5174.479539295862,8.369346545586883,65.06652151041213,71.00955745424558
2024,Hombres,5308.551240803664,7.868434192493829,66.13260179106875,71.78061201004877
2025,Hombres,5338.64147466862,8.017606625488234,65.90202682594035,71.64634927210074
2010,Mujeres,2877.793517035108,9.835116737440163,42.21349410575061,46.81810986526214
2011,Mujeres,3080.202184709039,8.875914693748294,44.49344768230411,48.827318850740305
2012,Mujeres,3171.5832552734814,8.075824016873142,45.133960386095225,49.099118815467854
2013,Mujeres,3281.4982019130957,7.076504424775424,46.07503659587599,49.58383916861668
2014,Mujeres,3368.888568002542,7.071787498540074,46.676610559131746,50.2286757731388
2015,Mujeres,3415.9835732612487,7.031024496193281,46.719256717959844,50.25252398962584
2016,Mujeres,3484.818014679196,7.236965763362424,47.023525468032474,50.69209503009133
2017,Mujeres,3596.7781040120226,7.5482259414183295,47.7426957784066,51.640648613356674
2018,Mujeres,3690.724233336748,8.256412357325338,47.977928676220174,52.2956752716995
2019,Mujeres,3802.676445926732,7.960806928744068,48.37959657584532,52.56412508787454
2020,Mujeres,3258.105077924093,10.857486239840226,40.60241014419489,45.54775093446065
2021,Mujeres,3429.9774045968556,9.117362442572217,42.18195280093659,46.41365384480866
2022,Mujeres,3743.1725071932956,8.494695040110065,45.590922808774394,49.82325650819756
2023,Mujeres,3899.909237113504,9.090639795260643,47.0695248403552,51.77632394986467
2024,Mujeres,3989.989913711112,9.26403389700137,47.7201881269852,52.59236240766511
2025,Mujeres,4052.843487406984,9.25387231428093,48.0405899679478,52.93954815827152
