anio,ingresos_pct_pib,gastos_pct_pib,balance_pct_pib
1990,21.82561052133843,19.522677492426723,2.3029330289117045
1991,21.470623014553837,19.957078297188282,1.5135447173655556
1992,21.485302967155256,19.447585930991465,2.03771703616379
1993,20.95981909488519,19.602771016737883,1.3570480781473067
1994,20.557776510146546,19.115483329484505,1.4422931806620427
1995,21.048434413749526,18.044476179173014,3.003958234576513
1996,21.04163138433628,18.926493018505216,2.115138365831066
1997,20.91638281111415,18.94309910119354,1.9732837099206093
1998,20.460163788435715,20.060233935804785,0.39992985263093045
1999,19.701989702768525,21.757253106886562,-2.0552634041180364
2000,20.363545914681964,20.996216317916346,-0.6326704032343817
2001,20.86190968192061,21.37446604544755,-0.5125563635269423
2002,20.193853759874585,21.380798435895475,-1.1869446760208886
2003,19.989737139683488,20.425426353531535,-0.4356892138480456
2004,21.27708204980481,19.216423551402993,2.060658498401818
2005,23.037983961390026,18.624613255514813,4.413370705875212
2006,24.601342197567305,17.24856280628511,7.352779391282194
2007,25.632762304678703,17.81197937901173,7.820782925666972
2008,24.2195709058863,20.334266826255295,3.8853040796310045
2009,19.10668706244871,23.472128673895696,-4.365441611446986
2010,21.581452294152008,22.035918937646137,-0.45446664349412597
2011,22.68311324817878,21.3997346614608,1.283378586717979
2012,22.13542108274099,21.575562534492303,0.5598585482486869
2013,21.03322109745201,21.633136993086495,-0.5999158956344864
2014,20.685511366992156,22.315065409781212,-1.629554042789059
2015,21.176505531509733,23.326622755300892,-2.1501172237911583
2016,20.884527328225687,23.60836053751717,-2.723833209291485
2017,21.022220098829923,23.78126491774821,-2.7590448189182872
2018,22.187757919616043,23.852360424423047,-1.6646025048070043
2019,21.749887331657398,24.62442401751845,-2.874536685861054
2020,19.94476781489728,27.218711264415095,-7.273943449517817
2021,24.162231356961748,31.88386859839513,-7.721637241433383
2022,26.106966083267395,24.9818552377154,1.125110845551996
2023,22.935339811628857,25.317044314058492,-2.3817045024296353
2024,21.86399664515729,24.722440991329464,-2.858444346172173
2025,21.594427811117527,24.39623198150584,-2.801804170388305
